test_case_id,node_id,true_label,injection_type,edad_raw_score
0,SB-003,1,spike,1.1118182
1,SB-013,1,dropout,0.60685927
2,SB-017,1,drift,1.5842535
3,SB-017,1,multi_spike,1.2770034
4,SB-006,1,spike,1.0441277
5,SB-007,1,dropout,0.5017819
6,SB-009,1,drift,0.5512692
7,SB-015,1,multi_spike,1.6436154
8,SB-008,1,spike,1.1445777
9,SB-018,1,dropout,0.659673
10,SB-002,1,drift,1.7085311
11,SB-014,1,multi_spike,1.4084017
12,SB-013,1,spike,1.430434
13,SB-003,1,dropout,0.2965554
14,SB-006,1,drift,0.5536524
15,SB-008,1,multi_spike,0.82845855
16,SB-007,1,spike,0.45995548
17,SB-006,1,dropout,0.5118121
18,SB-007,1,drift,2.1384292
19,SB-005,1,multi_spike,1.0621178
20,SB-006,1,spike,1.1544875
21,SB-010,1,dropout,0.5152508
22,SB-003,1,drift,0.8061587
23,SB-012,1,multi_spike,2.1088107
24,SB-020,1,spike,0.81984687
25,SB-020,1,dropout,0.6901752
26,SB-019,1,drift,0.82753175
27,SB-014,1,multi_spike,1.9541487
28,SB-001,1,spike,0.6563513
29,SB-012,1,dropout,0.4861185
30,SB-004,1,drift,0.62424517
31,SB-001,1,multi_spike,1.192093
32,SB-006,1,spike,0.7462934
33,SB-016,1,dropout,0.49171662
34,SB-010,1,drift,0.73118955
35,SB-002,1,multi_spike,1.2392367
36,SB-013,1,spike,1.3135833
37,SB-019,1,dropout,0.68401515
38,SB-005,1,drift,0.7039067
39,SB-019,1,multi_spike,2.9660516
40,SB-012,1,spike,1.0500854
41,SB-015,1,dropout,0.74740463
42,SB-020,1,drift,0.68836373
43,SB-007,1,multi_spike,2.0805275
44,SB-003,1,spike,1.6702756
45,SB-004,1,dropout,0.57051903
46,SB-017,1,drift,0.78241384
47,SB-017,1,multi_spike,1.0552948
48,SB-010,1,spike,0.77908194
49,SB-019,1,dropout,0.738297
50,SB-006,1,drift,0.8538484
51,SB-010,1,multi_spike,1.4186367
52,SB-007,1,spike,0.8125205
53,SB-008,1,dropout,0.62659264
54,SB-016,1,drift,1.5484335
55,SB-001,1,multi_spike,1.1615738
56,SB-004,1,spike,0.7495874
57,SB-009,1,dropout,0.5376777
58,SB-001,1,drift,0.83111
59,SB-011,1,multi_spike,2.520232
60,SB-011,1,spike,0.6117145
61,SB-017,1,dropout,0.65805197
62,SB-016,1,drift,0.9290051
63,SB-018,1,multi_spike,1.5353003
64,SB-019,1,spike,1.0620105
65,SB-010,1,dropout,0.6169224
66,SB-011,1,drift,0.6153014
67,SB-002,1,multi_spike,1.4856042
68,SB-014,1,spike,0.8584021
69,SB-005,1,dropout,0.5638113
70,SB-018,1,drift,0.90926105
71,SB-020,1,multi_spike,1.4335293
72,SB-001,1,spike,0.7786187
73,SB-004,1,dropout,0.27078393
74,SB-016,1,drift,1.6249583
75,SB-006,1,multi_spike,2.5317535
76,SB-010,1,spike,0.93284374
77,SB-010,1,dropout,0.56859004
78,SB-017,1,drift,1.1344677
79,SB-011,1,multi_spike,1.6356971
80,SB-012,1,spike,1.3902359
81,SB-009,1,dropout,0.4664339
82,SB-017,1,drift,0.36831874
83,SB-015,1,multi_spike,1.3581977
84,SB-006,1,spike,1.1893363
85,SB-005,1,dropout,0.6445252
86,SB-011,1,drift,1.2480668
87,SB-005,1,multi_spike,0.9826461
88,SB-007,1,spike,1.5799782
89,SB-009,1,dropout,0.5028557
90,SB-008,1,drift,2.2217817
91,SB-015,1,multi_spike,0.91243404
92,SB-016,1,spike,0.8271305
93,SB-002,1,dropout,0.48293626
94,SB-002,1,drift,1.4124367
95,SB-008,1,multi_spike,1.9166954
96,SB-002,1,spike,2.7673595
97,SB-002,1,dropout,0.6693671
98,SB-012,1,drift,0.97555125
99,SB-012,1,multi_spike,1.3526053
100,SB-019,1,spike,1.0579658
101,SB-001,1,dropout,0.53596735
102,SB-016,1,drift,0.88848335
103,SB-017,1,multi_spike,1.6564897
104,SB-001,1,spike,1.4302089
105,SB-011,1,dropout,0.46702263
106,SB-004,1,drift,0.70149255
107,SB-013,1,multi_spike,1.1544715
108,SB-001,1,spike,1.1487781
109,SB-009,1,dropout,0.52623117
110,SB-019,1,drift,0.80695444
111,SB-019,1,multi_spike,0.8937881
112,SB-004,1,spike,2.1360085
113,SB-010,1,dropout,0.4919175
114,SB-005,1,drift,1.7304407
115,SB-001,1,multi_spike,1.2266672
116,SB-002,1,spike,0.6898569
117,SB-019,1,dropout,0.6777342
118,SB-019,1,drift,1.0433526
119,SB-014,1,multi_spike,1.6333635
120,SB-004,1,spike,0.9518672
121,SB-014,1,dropout,0.46089846
122,SB-019,1,drift,0.8798305
123,SB-007,1,multi_spike,0.8997022
124,SB-011,1,spike,1.2951552
125,SB-012,1,dropout,0.5084459
126,SB-011,1,drift,0.93426245
127,SB-004,1,multi_spike,1.1574162
128,SB-010,1,spike,0.9230802
129,SB-018,1,dropout,0.6614574
130,SB-009,1,drift,1.1053913
131,SB-007,1,multi_spike,2.0378056
132,SB-010,1,spike,0.94556767
133,SB-005,1,dropout,0.4737494
134,SB-020,1,drift,1.9571633
135,SB-008,1,multi_spike,1.3929577
136,SB-002,1,spike,0.9550529
137,SB-008,1,dropout,0.44212088
138,SB-013,1,drift,0.6279925
139,SB-019,1,multi_spike,1.7255807
140,SB-013,1,spike,1.5011543
141,SB-002,1,dropout,0.62293553
142,SB-002,1,drift,1.0197951
143,SB-017,1,multi_spike,1.1999252
144,SB-006,1,spike,0.6262317
145,SB-007,1,dropout,0.74081045
146,SB-005,1,drift,0.7436937
147,SB-007,1,multi_spike,1.56031
148,SB-002,1,spike,1.5180485
149,SB-016,1,dropout,0.7144461
150,SB-010,1,drift,1.2499876
151,SB-011,1,multi_spike,1.5601633
152,SB-008,1,spike,0.95515233
153,SB-012,1,dropout,0.6107697
154,SB-005,1,drift,1.2297808
155,SB-012,1,multi_spike,1.1992741
156,SB-004,1,spike,0.77996504
157,SB-010,1,dropout,0.52013236
158,SB-011,1,drift,0.8738699
159,SB-018,1,multi_spike,1.3562539
160,SB-020,1,spike,3.4320505
161,SB-003,1,dropout,0.52400666
162,SB-006,1,drift,1.3646407
163,SB-017,1,multi_spike,1.4120593
164,SB-012,1,spike,1.4125957
165,SB-011,1,dropout,0.6427626
166,SB-013,1,drift,1.0169427
167,SB-016,1,multi_spike,0.7908174
168,SB-013,1,spike,0.8784806
169,SB-010,1,dropout,0.5536096
170,SB-007,1,drift,0.5713537
171,SB-011,1,multi_spike,2.0999687
172,SB-006,1,spike,0.7281402
173,SB-014,1,dropout,0.63402486
174,SB-003,1,drift,0.86132836
175,SB-006,1,multi_spike,1.3556657
176,SB-012,1,spike,0.94910485
177,SB-014,1,dropout,0.41662756
178,SB-008,1,drift,0.96521175
179,SB-003,1,multi_spike,1.0488338
180,SB-002,1,spike,1.3718687
181,SB-016,1,dropout,0.50732523
182,SB-006,1,drift,0.9713012
183,SB-017,1,multi_spike,1.722363
184,SB-011,1,spike,1.3687775
185,SB-019,1,dropout,0.52512854
186,SB-006,1,drift,1.2003508
187,SB-010,1,multi_spike,1.8463156
188,SB-013,1,spike,0.8382914
189,SB-020,1,dropout,0.525383
190,SB-008,1,drift,0.8110101
191,SB-018,1,multi_spike,0.960704
192,SB-013,1,spike,1.3497133
193,SB-010,1,dropout,0.7292367
194,SB-013,1,drift,0.6179188
195,SB-008,1,multi_spike,0.91263413
196,SB-012,1,spike,0.6853759
197,SB-015,1,dropout,0.38227743
198,SB-020,1,drift,2.6497266
199,SB-006,1,multi_spike,1.6653471
200,SB-017,1,spike,1.9216114
201,SB-019,1,dropout,0.8846678
202,SB-003,1,drift,1.1471823
203,SB-010,1,multi_spike,1.8433361
204,SB-007,1,spike,2.6177347
205,SB-009,1,dropout,0.560619
206,SB-013,1,drift,1.0274047
207,SB-011,1,multi_spike,2.0250893
208,SB-019,1,spike,1.0144439
209,SB-006,1,dropout,0.51908696
210,SB-003,1,drift,0.8808323
211,SB-012,1,multi_spike,1.0206208
212,SB-008,1,spike,1.2396573
213,SB-003,1,dropout,0.3926621
214,SB-014,1,drift,0.70550793
215,SB-001,1,multi_spike,2.5996735
216,SB-006,1,spike,0.65281475
217,SB-006,1,dropout,0.56885135
218,SB-013,1,drift,0.60977924
219,SB-012,1,multi_spike,2.3487067
220,SB-009,1,spike,0.76913023
221,SB-007,1,dropout,0.5058887
222,SB-015,1,drift,1.2223406
223,SB-016,1,multi_spike,1.5016392
224,SB-001,1,spike,2.367858
225,SB-011,1,dropout,0.5859621
226,SB-001,1,drift,1.7974284
227,SB-003,1,multi_spike,1.6198889
228,SB-010,1,spike,1.1188003
229,SB-011,1,dropout,0.6549071
230,SB-008,1,drift,0.61672455
231,SB-008,1,multi_spike,1.4292814
232,SB-009,1,spike,0.8914115
233,SB-010,1,dropout,0.5048012
234,SB-014,1,drift,0.8802071
235,SB-010,1,multi_spike,1.4327458
236,SB-017,1,spike,0.8407253
237,SB-008,1,dropout,0.7418005
238,SB-020,1,drift,0.90978813
239,SB-015,1,multi_spike,1.4195982
240,SB-007,1,spike,0.5771723
241,SB-005,1,dropout,0.67934704
242,SB-015,1,drift,1.4128175
243,SB-006,1,multi_spike,1.7330866
244,SB-003,1,spike,0.62893164
245,SB-019,1,dropout,0.71122056
246,SB-020,1,drift,0.46381178
247,SB-010,1,multi_spike,1.0845886
248,SB-003,1,spike,0.99379313
249,SB-012,1,dropout,0.71133065
250,SB-004,1,drift,0.35430565
251,SB-003,1,multi_spike,1.1655617
252,SB-002,1,spike,1.6158715
253,SB-004,1,dropout,0.45871046
254,SB-002,1,drift,0.9489883
255,SB-004,1,multi_spike,1.0441285
256,SB-006,1,spike,0.7678749
257,SB-009,1,dropout,0.3828093
258,SB-009,1,drift,0.8674662
259,SB-018,1,multi_spike,1.528235
260,SB-006,1,spike,0.96803504
261,SB-004,1,dropout,0.4673137
262,SB-009,1,drift,0.4862018
263,SB-004,1,multi_spike,0.80027044
264,SB-020,1,spike,1.2208428
265,SB-001,1,dropout,0.49123275
266,SB-008,1,drift,1.0048923
267,SB-018,1,multi_spike,1.0713986
268,SB-020,1,spike,0.9588639
269,SB-004,1,dropout,0.43927282
270,SB-004,1,drift,0.6532065
271,SB-011,1,multi_spike,2.4168367
272,SB-017,1,spike,0.91688585
273,SB-001,1,dropout,0.8612728
274,SB-017,1,drift,2.8179855
275,SB-016,1,multi_spike,1.5802681
276,SB-001,1,spike,0.7775972
277,SB-017,1,dropout,0.466449
278,SB-014,1,drift,1.0694655
279,SB-002,1,multi_spike,0.994277
280,SB-004,1,spike,1.4641111
281,SB-008,1,dropout,0.5760616
282,SB-005,1,drift,1.3607489
283,SB-008,1,multi_spike,2.1401098
284,SB-003,1,spike,0.6773342
285,SB-011,1,dropout,0.64474696
286,SB-004,1,drift,1.4070003
287,SB-015,1,multi_spike,1.3463053
288,SB-004,1,spike,2.6114438
289,SB-004,1,dropout,0.38472566
290,SB-005,1,drift,0.7065526
291,SB-013,1,multi_spike,0.84895706
292,SB-008,1,spike,0.9933888
293,SB-020,1,dropout,0.509232
294,SB-005,1,drift,0.7754145
295,SB-019,1,multi_spike,1.0724638
296,SB-008,1,spike,0.79051834
297,SB-008,1,dropout,0.69497484
298,SB-012,1,drift,0.69350314
299,SB-010,1,multi_spike,1.2951093
300,SB-007,1,spike,1.7589606
301,SB-016,1,dropout,0.70135075
302,SB-016,1,drift,0.87336344
303,SB-009,1,multi_spike,1.2034289
304,SB-020,1,spike,0.7796356
305,SB-004,1,dropout,0.4260618
306,SB-001,1,drift,1.6837865
307,SB-015,1,multi_spike,1.4596456
308,SB-007,1,spike,0.70952034
309,SB-005,1,dropout,0.54500985
310,SB-010,1,drift,0.7767223
311,SB-017,1,multi_spike,0.9497477
312,SB-011,1,spike,0.6522795
313,SB-002,1,dropout,0.7985045
314,SB-019,1,drift,1.084412
315,SB-010,1,multi_spike,0.6869746
316,SB-012,1,spike,0.71908075
317,SB-011,1,dropout,0.3614429
318,SB-006,1,drift,2.543125
319,SB-011,1,multi_spike,1.6857176
320,SB-018,1,spike,1.2056509
321,SB-004,1,dropout,0.690815
322,SB-002,1,drift,1.1667634
323,SB-005,1,multi_spike,1.3725737
