node_id,timestamp,air_temperature_C,relative_humidity_pct,air_pressure_hPa,wind_speed_ms,wind_direction_deg,leaf_wetness_pct,soil_moisture_pct,solar_radiation_Wm2,battery_voltage_V
SB-007,2010-01-01 00:00:00,11.01,67.38,1003.33,2.72,12.9,25.4,40.33,0.0,3.71
SB-020,2010-01-01 00:10:00,9.53,68.97,1019.8,2.71,215.9,9.9,35.57,0.0,3.47
SB-015,2010-01-01 00:20:00,11.87,66.83,1002.24,1.91,87.8,36.2,34.65,0.0,3.6
SB-011,2010-01-01 00:30:00,10.21,72.1,1016.58,2.43,28.1,25.1,37.04,0.0,3.73
SB-008,2010-01-01 00:40:00,10.76,75.2,1018.73,2.06,121.2,20.5,35.7,0.0,3.83
SB-007,2010-01-01 00:50:00,10.48,76.25,1014.22,0.47,340.8,20.3,38.08,0.0,3.58
SB-019,2010-01-01 01:00:00,10.59,71.36,1014.37,1.88,131.3,37.4,31.43,0.0,3.48
SB-011,2010-01-01 01:10:00,11.27,67.03,1014.06,3.82,63.8,31.3,34.65,0.0,3.82
SB-011,2010-01-01 01:20:00,10.83,65.08,1005.43,3.54,306.7,34.7,33.11,0.0,3.87
SB-004,2010-01-01 01:30:00,11.9,69.8,1011.47,2.76,114.4,48.7,40.02,0.0,3.53
SB-008,2010-01-01 01:40:00,10.91,70.77,1014.59,1.74,200.0,32.7,30.47,0.0,3.66
SB-003,2010-01-01 01:50:00,10.4,62.58,1012.99,2.51,194.6,30.9,30.9,0.0,3.49
SB-002,2010-01-01 02:00:00,10.17,68.81,1007.78,5.65,4.3,12.3,35.6,0.0,4.08
SB-012,2010-01-01 02:10:00,10.44,70.87,1014.28,3.32,253.8,36.1,49.11,0.0,3.34
SB-006,2010-01-01 02:20:00,10.23,82.59,1014.81,2.91,201.8,39.8,33.77,0.0,3.78
SB-002,2010-01-01 02:30:00,10.14,66.95,1018.86,5.21,273.1,38.1,28.96,0.0,3.28
SB-001,2010-01-01 02:40:00,7.07,78.64,1018.0,0.45,119.1,37.1,37.28,0.0,3.55
SB-012,2010-01-01 02:50:00,11.29,71.17,1016.44,2.58,152.9,21.5,36.36,0.0,3.68
SB-012,2010-01-01 03:00:00,10.05,76.01,1012.95,4.37,77.4,42.0,34.81,0.0,3.55
SB-017,2010-01-01 03:10:00,10.19,81.46,1014.93,1.21,335.7,24.3,34.3,0.0,3.62
SB-010,2010-01-01 03:20:00,9.13,78.06,1012.26,2.3,353.4,25.6,32.16,0.0,3.52
SB-016,2010-01-01 03:30:00,9.4,81.53,1010.87,2.37,246.8,15.3,26.45,0.0,3.75
SB-015,2010-01-01 03:40:00,9.14,80.73,1008.33,3.22,121.9,24.7,34.81,0.0,3.24
SB-015,2010-01-01 03:50:00,12.48,80.05,1004.69,0.91,193.6,36.0,32.39,0.0,3.73
SB-019,2010-01-01 04:00:00,11.8,85.28,1014.45,2.53,60.9,33.8,31.97,0.0,3.17
SB-012,2010-01-01 04:10:00,7.98,85.79,1016.86,4.11,195.0,16.5,46.44,0.0,3.86
SB-020,2010-01-01 04:20:00,8.08,80.52,1015.39,2.59,148.5,19.6,37.98,0.0,3.91
SB-003,2010-01-01 04:30:00,10.5,84.17,1012.66,1.18,324.4,42.0,40.13,0.0,3.74
SB-005,2010-01-01 04:40:00,12.65,92.49,1013.0,2.05,283.1,38.2,46.86,0.0,3.22
SB-019,2010-01-01 04:50:00,9.81,86.94,1004.17,2.77,163.2,21.9,31.19,0.0,3.78
SB-007,2010-01-01 05:00:00,10.41,89.57,1011.81,2.54,329.4,30.2,44.64,0.0,3.67
SB-009,2010-01-01 05:10:00,12.07,89.07,1005.67,3.33,244.2,18.5,38.3,0.0,3.51
SB-007,2010-01-01 05:20:00,9.44,80.94,1013.2,1.58,343.7,32.7,29.0,0.0,3.8
SB-018,2010-01-01 05:30:00,11.79,82.41,1014.81,1.76,358.4,17.3,32.0,0.0,3.98
SB-004,2010-01-01 05:40:00,9.54,79.95,1014.02,2.94,212.7,19.9,32.27,0.0,3.24
SB-014,2010-01-01 05:50:00,9.97,86.95,1017.18,2.34,218.6,26.9,35.36,0.0,3.73
SB-018,2010-01-01 06:00:00,10.48,83.96,1019.05,2.43,139.5,29.4,39.42,0.0,3.76
SB-009,2010-01-01 06:10:00,11.54,82.89,1010.28,0.94,301.7,18.4,41.78,35.4,3.57
SB-002,2010-01-01 06:20:00,10.27,97.33,1015.45,1.97,297.0,12.4,34.38,152.2,3.61
SB-020,2010-01-01 06:30:00,10.8,91.86,1010.73,1.54,335.3,34.0,32.66,161.9,3.54
SB-015,2010-01-01 06:40:00,12.15,96.36,1020.05,2.95,98.3,30.0,30.96,85.9,3.43
SB-007,2010-01-01 06:50:00,11.68,78.81,1012.45,2.81,221.7,42.0,32.64,238.0,3.69
SB-012,2010-01-01 07:00:00,13.7,96.07,1020.89,2.31,89.4,42.1,29.37,212.5,3.3
SB-008,2010-01-01 07:10:00,11.37,87.19,1009.03,1.05,270.1,46.8,41.04,224.1,4.06
SB-015,2010-01-01 07:20:00,10.17,86.75,1010.05,4.37,230.5,21.5,32.76,302.2,3.5
SB-003,2010-01-01 07:30:00,12.95,94.3,1015.13,2.28,123.2,25.3,33.4,282.5,3.77
